| TABLE_CAT | TABLE_SCHEM | TABLE_NAME | COLUMN_NAME | DATA_TYPE | TYPE_NAME | COLUMN_SIZE | BUFFER_LENGTH | DECIMAL_DIGITS | NUM_PREC_RADIX | NULLABLE | REMARKS | COLUMN_DEF | SQL_DATA_TYPE | SQL_DATETIME_SUB | CHAR_OCTET_LENGTH | ORDINAL_POSITION | IS_NULLABLE | SCOPE_CATALOG | SCOPE_SCHEMA | SCOPE_TABLE | SOURCE_DATA_TYPE | IS_AUTOINCREMENT |
|-----------|-------------|------------|-------------|-----------|-----------|-------------|---------------|----------------|----------------|----------|---------|-------------|---------------|------------------|------------------|-----------------|-------------|---------------|--------------|-------------|------------------|------------------|
| rms       | dbo         | t_pegawai  | nrp         | 12        | varchar   | 30          | 30            | 0              | 0              | 0        |         |             | 12            | 0                | 30               | 1               | NO          |               |              |             |                  | NO               |
| rms       | dbo         | t_pegawai  | nama        | 12        | varchar   | 150         | 150           | 0              | 0              | 0        |         |             | 12            | 0                | 150              | 2               | NO          |               |              |             |                  | NO               |
| rms       | dbo         | t_pegawai  | jabatan     | 12        | varchar   | 200         | 200           | 0              | 0              | 1        |         |             | 12            | 0                | 200              | 3               | YES         |               |              |             |                  | NO               |

--->2
| TABLE_CAT | TABLE_SCHEM | TABLE_NAME | COLUMN_NAME | DATA_TYPE | TYPE_NAME | COLUMN_SIZE | BUFFER_LENGTH | DECIMAL_DIGITS | NUM_PREC_RADIX | NULLABLE | REMARKS | COLUMN_DEF | SQL_DATA_TYPE | SQL_DATETIME_SUB | CHAR_OCTET_LENGTH | ORDINAL_POSITION | IS_NULLABLE | SCOPE_CATALOG | SCOPE_SCHEMA | SCOPE_TABLE | SOURCE_DATA_TYPE | IS_AUTOINCREMENT |
|-----------|-------------|------------|-------------|-----------|-----------|-------------|---------------|----------------|----------------|----------|---------|-------------|---------------|------------------|------------------|-----------------|-------------|---------------|--------------|-------------|------------------|------------------|
| rms       | dbo         | m_unit     | id          | 4         | int       | 10          | 4             | 0              | 10             | 0        |         |             | 4             | 0                | 0                | 1               | NO          |               |              |             |                  | NO               |
| rms       | dbo         | m_unit     | nama        | 12        | varchar   | 50          | 50            | 0              | 0              | 1        |         |             | 12            | 0                | 50               | 2               | YES         |               |              |             |                  | NO               |
| rms       | dbo         | m_unit     | parent_id   | 4         | int       | 10          | 4             | 0              | 10             | 1        |         |             | 4             | 0                | 0                | 3               | YES         |               |              |             |                  | NO               |
| rms       | dbo         | m_unit     | shortname   | 12        | varchar   | 20          | 20            | 0              | 0              | 1        |         |             | 12            | 0                | 20               | 4               | YES         |               |              |             |                  | NO               |
| rms       | dbo         | m_unit     | alamat      | 12        | varchar   | 255         | 255           | 0              | 0              | 1        |         |             | 12            | 0                | 255              | 5               | YES         |               |              |             |                  | NO               |
| rms       | dbo         | m_unit     | pj          | 12        | varchar   | 255         | 255           | 0              | 0              | 1        |         |             | 12            | 0                | 255              | 6               | YES         |               |              |             |                  | NO               |
| rms       | dbo         | m_unit     | unit_tlhp   | 12        | varchar   | 6           | 6             | 0              | 0              | 1        |         |             | 12            | 0                | 6                | 7               | YES         |               |              |             |                  | NO               |


-->3
# m_user

